metric,comparison_type,comparison_value,test_type,statistic,p_value,effect_size,mean_group1,mean_group2,std_group1,std_group2,n_group1,n_group2,is_normal_group1,is_normal_group2,p_adj
complexity_amplitude,genre,metal,Mann-Whitney U,11641.0,1.114052252364683e-36,-0.7664794383149448,0.12875748637214682,0.22027054493916073,0.05309677515949573,0.055177832261684566,100,997,True,True,7.241339640370439e-35
complexity_amplitude,genre,disco,Mann-Whitney U,73557.0,4.196702428222457e-15,0.4755667001003009,0.2592244741903515,0.20718458828738495,0.050500051686031056,0.05990091466101516,100,997,False,True,4.959739233353812e-14
complexity_amplitude,genre,jazz,Mann-Whitney U,65627.0,1.7567580105006537e-07,0.31648946840521563,0.24082554325476607,0.2090300176690886,0.05306300386388186,0.060960719526487246,100,997,True,True,9.515772556878541e-07
complexity_amplitude,genre,rock,Mann-Whitney U,36104.0,5.340327928950951e-06,-0.2757472417251755,0.18946285689926234,0.2141817414760599,0.05235997751094729,0.061319654597866015,100,997,False,False,2.2394923573020117e-05
complexity_amplitude,genre,reggae,Mann-Whitney U,60609.0,0.00036804392902492955,0.21582748244734204,0.22972620514426392,0.21014329130103465,0.04290545912198144,0.06221881792402716,100,997,False,True,0.0011126909482149032
complexity_amplitude,genre,classical,Mann-Whitney U,55620.0,0.016859688606912226,0.14680412371134022,0.2309211724727884,0.21008612821169748,0.07198478847391776,0.05947679349653488,97,1000,True,False,0.034789833633310945
complexity_amplitude,genre,hip-hop,Mann-Whitney U,56212.0,0.03518622278210966,0.12762286860581745,0.22427647569550946,0.21068990408425978,0.048346346183410355,0.06196380957080959,100,997,True,True,0.06534584230963222
complexity_amplitude,genre,country,Mann-Whitney U,44170.0,0.060052555185608494,-0.11394182547642928,0.20354110569784165,0.2127696804130128,0.045789223233742064,0.062231193223097045,100,997,True,True,0.09813040039975496
complexity_amplitude,genre,pop,Mann-Whitney U,44194.0,0.06114278794138578,-0.1134603811434303,0.20296135767049173,0.21282782966349925,0.046681292264488014,0.06215574967381247,100,997,True,True,0.09813040039975496
complexity_amplitude,genre,blues,Mann-Whitney U,47520.0,0.44054884848884,-0.04674022066198596,0.20690112002839062,0.21243266794254653,0.05129154297625306,0.061839454078157635,100,997,True,True,0.5402957575806528
complexity_amplitude,genre,acoustic,Mann-Whitney U,51746.0,0.5302823554423512,0.03803410230692076,0.21518465716395052,0.21160182169023362,0.047405250196401544,0.062162762488647515,100,997,True,True,0.638302835254682
complexity_amplitude,mode,0,Mann-Whitney U,135821.0,0.6172465067161281,-0.01818037242655563,0.21046047853378932,0.21274788903093575,0.059741907184755,0.06163647444406988,393,704,True,True,0.707056041754003
complexity_amplitude,mode,1,Mann-Whitney U,140851.0,0.6172465067161281,0.01818037242655563,0.21274788903093575,0.21046047853378932,0.06163647444406988,0.059741907184755,704,393,True,True,0.707056041754003
