metric,comparison_type,comparison_value,test_type,statistic,p_value,effect_size,mean_group1,mean_group2,std_group1,std_group2,n_group1,n_group2,is_normal_group1,is_normal_group2,p_adj
complexity_harmony,genre,classical,Mann-Whitney U,26311.0,9.486599061274167e-14,-0.45750515463917524,0.21244432050471077,0.26389418434781453,0.06851753961656899,0.04469170345222218,97,1000,True,False,1.0277148983047013e-12
complexity_harmony,genre,metal,Mann-Whitney U,64481.0,1.2727297089446576e-06,0.29350050150451357,0.2813011807207713,0.2571425931441267,0.04247388128404891,0.04960573402393773,100,997,True,False,6.61819448651222e-06
complexity_harmony,genre,disco,Mann-Whitney U,59228.0,0.0019042923715508664,0.18812437311935806,0.2756033553785475,0.257714090169425,0.04342772288969013,0.049764854702025345,100,997,True,False,0.004760730928877166
complexity_harmony,genre,acoustic,Mann-Whitney U,41122.0,0.0038578118739197717,-0.1750852557673019,0.24882267036517253,0.26040021705140837,0.04400766816676652,0.04988395341192759,100,997,True,False,0.00928732488165871
complexity_harmony,genre,country,Mann-Whitney U,41504.0,0.005725785446473768,-0.1674222668004012,0.24736020338054118,0.2605469038101477,0.04445716568151218,0.049807507298125,100,997,True,False,0.012833657035199824
complexity_harmony,genre,reggae,Mann-Whitney U,57299.0,0.01365931475012131,0.1494282848545637,0.27175049835879567,0.25810053520651144,0.03748697183121988,0.050368075104795546,100,997,True,False,0.029110015041242134
complexity_harmony,genre,hip-hop,Mann-Whitney U,56192.0,0.03576518546286718,0.12722166499498497,0.2701820515013837,0.25825785184215955,0.0432218248955304,0.04994538665627201,100,997,True,False,0.0654855508475033
complexity_harmony,mode,1,Mann-Whitney U,123979.0,0.004326060082718649,-0.10378354152209114,0.25617631323792195,0.2650207606037516,0.051008713517906965,0.04610350754509736,704,393,False,False,0.010042639477739722
complexity_harmony,mode,0,Mann-Whitney U,152693.0,0.004326060082718649,0.10378354152209114,0.2650207606037516,0.25617631323792195,0.04610350754509736,0.051008713517906965,393,704,False,False,0.010042639477739722
complexity_harmony,genre,rock,Mann-Whitney U,52823.0,0.3250390373048325,0.05963891675025075,0.26376647832880495,0.25890133962275924,0.044751575692572314,0.04991840491904875,100,997,True,False,0.42255074849628227
complexity_harmony,genre,blues,Mann-Whitney U,48501.0,0.6552573691262522,-0.027061183550651957,0.25981056579885464,0.25929812122054763,0.0407501734297473,0.05028216892596937,100,997,True,False,0.7280637434736136
complexity_harmony,genre,pop,Mann-Whitney U,49651.0,0.9476001661275392,-0.00399197592778335,0.2607686433653641,0.2592020251757623,0.04581910489837211,0.04984057892957346,100,997,True,False,0.9549459038494581
complexity_harmony,genre,jazz,Mann-Whitney U,49888.0,0.9900939149079087,0.0007622868605817452,0.2595761962799093,0.2593216286948651,0.04740575071913937,0.04969371325967431,100,997,True,False,0.9900939149079087
