metric,comparison_type,comparison_value,test_type,statistic,p_value,effect_size,mean_group1,mean_group2,std_group1,std_group2,n_group1,n_group2,is_normal_group1,is_normal_group2,p_adj
complexity_spectral,genre,classical,Mann-Whitney U,21309.0,7.052303436327899e-20,-0.560639175257732,0.3690929115825414,0.4218158085283321,0.05659431742843362,0.022726789158301182,97,1000,False,False,1.5279990778710447e-18
complexity_spectral,genre,metal,Mann-Whitney U,68025.0,1.7730940668917663e-09,0.3645937813440321,0.4320121923060876,0.4156635924987261,0.011609106919616155,0.0322230686220606,100,997,False,False,1.0976296604568077e-08
complexity_spectral,genre,disco,Mann-Whitney U,39394.0,0.000536818668287685,-0.2097492477432297,0.4114331257073837,0.4177276914554666,0.025926821605018746,0.031704480556733486,100,997,False,False,0.0015170962364651965
complexity_spectral,genre,country,Mann-Whitney U,59757.0,0.0010383965168903949,0.19873620862587763,0.4276139062121034,0.4161047445643213,0.015426641687098409,0.03225311788435672,100,997,False,False,0.0026998309439150267
complexity_spectral,genre,blues,Mann-Whitney U,57554.0,0.010756011215765913,0.15454363089267803,0.4248119446583267,0.4163857838375185,0.021348750153949516,0.03200034223104005,100,997,False,False,0.02330469096749281
complexity_spectral,genre,rock,Mann-Whitney U,57215.0,0.014756977844731404,0.1477432296890672,0.423393804226296,0.4165280246030181,0.025342743329886716,0.03174102039301295,100,997,False,False,0.030942050319598104
complexity_spectral,genre,jazz,Mann-Whitney U,55446.0,0.06394024904547117,0.1122567703109328,0.42286030962897714,0.4165815345927191,0.025666064929729466,0.03172603903834084,100,997,False,False,0.10136868751111285
complexity_spectral,genre,reggae,Mann-Whitney U,46159.0,0.2217545674466873,-0.07404212637913742,0.41953602554843256,0.41691496328685596,0.019886675802338657,0.03218563240638868,100,997,False,False,0.31679223920955335
complexity_spectral,genre,acoustic,Mann-Whitney U,46225.0,0.2301299607002424,-0.07271815446339017,0.41589533690865116,0.41728012764390526,0.02898386616490351,0.031492445707491226,100,997,False,False,0.3216870418390485
complexity_spectral,genre,pop,Mann-Whitney U,47432.0,0.4234777088100491,-0.04850551654964895,0.41911088069105185,0.416957605699833,0.02291906412075029,0.03198592036861109,100,997,False,False,0.5243057347172037
complexity_spectral,genre,hip-hop,Mann-Whitney U,48484.0,0.6511976334975689,-0.02740220661985958,0.4214905593960108,0.41671892177757025,0.017230908920678013,0.03231644912828724,100,997,False,False,0.7280637434736136
complexity_spectral,mode,0,Mann-Whitney U,141199.0,0.5694094086255734,0.020695986583391165,0.41954473881791354,0.4158192309607935,0.026713915643704966,0.03347788384296341,393,704,False,False,0.6668758839758968
complexity_spectral,mode,1,Mann-Whitney U,135473.0,0.5694094086255734,-0.020695986583391165,0.4158192309607935,0.41954473881791354,0.03347788384296341,0.026713915643704966,704,393,False,False,0.6668758839758968
