metric,comparison_type,comparison_value,test_type,statistic,p_value,effect_size,mean_group1,mean_group2,std_group1,std_group2,n_group1,n_group2,is_normal_group1,is_normal_group2,p_adj
entropy_spectral,genre,classical,Mann-Whitney U,6137.0,6.931902951252371e-46,-0.8734639175257732,0.47179884383533893,0.7123106874991179,0.12436972934287303,0.07603546556062225,97,1000,False,False,9.011473836628081e-44
complexity_amplitude,genre,metal,Mann-Whitney U,11641.0,1.114052252364683e-36,-0.7664794383149448,0.12875748637214682,0.22027054493916073,0.05309677515949573,0.055177832261684566,100,997,True,True,7.241339640370439e-35
entropy_amplitude,genre,metal,Mann-Whitney U,87702.0,4.980522778143074e-36,0.7593179538615847,0.9332163871235353,0.8709370331160079,0.03707913181126457,0.047999162516238654,100,997,False,False,2.158226537195332e-34
entropy_harmony,genre,classical,Mann-Whitney U,78002.0,4.0573385513546966e-23,0.6082886597938144,0.87860712878706,0.8144704491573324,0.047437989339257164,0.06042545966154832,97,1000,True,False,1.3186350291902763e-21
complexity_flux,genre,reggae,Mann-Whitney U,78357.0,3.795050293483875e-21,0.5718555667001003,0.3915385682413613,0.3693331848266111,0.015538020578218308,0.025436187794483273,100,997,False,False,9.867130763058075e-20
complexity_spectral,genre,classical,Mann-Whitney U,21309.0,7.052303436327899e-20,-0.560639175257732,0.3690929115825414,0.4218158085283321,0.05659431742843362,0.022726789158301182,97,1000,False,False,1.5279990778710447e-18
entropy_flux,genre,classical,Mann-Whitney U,74196.0,6.407526303602969e-18,0.5298144329896908,0.7241216581328597,0.680807168435103,0.046130357722747053,0.03954054278368711,97,1000,True,False,1.1899691706691228e-16
entropy_flux,genre,disco,Mann-Whitney U,23866.0,7.779841037811699e-18,-0.5212437311935807,0.6492011689042964,0.6881914266635514,0.03970945743448619,0.04055675520550706,100,997,True,False,1.2642241686444009e-16
complexity_flux,genre,classical,Mann-Whitney U,23369.0,3.301244196146618e-17,-0.5181649484536083,0.3464993201504972,0.3737686080416692,0.031889977682055926,0.023443891485340713,97,1000,True,False,4.768463838878448e-16
complexity_flux,genre,disco,Mann-Whitney U,74799.0,1.4552689494150612e-16,0.500481444332999,0.3891551421724042,0.3695722446128656,0.01789189118035151,0.025477380172263756,100,997,False,False,1.8918496342395793e-15
complexity_amplitude,genre,disco,Mann-Whitney U,73557.0,4.196702428222457e-15,0.4755667001003009,0.2592244741903515,0.20718458828738495,0.050500051686031056,0.05990091466101516,100,997,False,True,4.959739233353812e-14
complexity_harmony,genre,classical,Mann-Whitney U,26311.0,9.486599061274167e-14,-0.45750515463917524,0.21244432050471077,0.26389418434781453,0.06851753961656899,0.04469170345222218,97,1000,True,False,1.0277148983047013e-12
entropy_spectral,genre,jazz,Mann-Whitney U,28368.0,1.1417336290272182e-12,-0.43093279839518556,0.6391965158229754,0.6962442565384637,0.09156623383364607,0.10628431620882116,100,997,True,False,1.1417336290272181e-11
entropy_flux,genre,reggae,Mann-Whitney U,28434.0,1.33734935425807e-12,-0.4296088264794383,0.6595548123124305,0.6871529468833975,0.028319318951047962,0.04232871326701727,100,997,False,False,1.2418244003824935e-11
higuchi_fd,genre,classical,Mann-Whitney U,69272.0,3.1196486860068816e-12,0.4282886597938144,1.772756735420258,1.7232179612367986,0.065011005238201,0.0703294753841119,97,1000,False,False,2.7036955278726305e-11
entropy_amplitude,genre,disco,Mann-Whitney U,30658.0,2.097151236240317e-10,-0.3849949849548646,0.8515437012864584,0.8791288772320638,0.037995894704809983,0.05080576336297584,100,997,False,False,1.7039353794452574e-09
entropy_spectral,genre,disco,Mann-Whitney U,68741.0,3.9905873430888617e-10,0.37895687061183553,0.7420030607354424,0.6859326672794398,0.0782127752521205,0.10739566918510524,100,997,False,False,3.051625615303247e-09
entropy_spectral,genre,reggae,Mann-Whitney U,68276.0,1.0577684117767708e-09,0.36962888665997995,0.745524690161741,0.6855794446689786,0.04889072220591152,0.10893422514223187,100,997,False,False,7.6394385294989e-09
entropy_amplitude,genre,jazz,Mann-Whitney U,31508.0,1.2583312048128428e-09,-0.36794383149448345,0.8477657624876032,0.879507807903965,0.051958908418246186,0.04932304457553063,100,997,True,False,8.609634559245766e-09
complexity_flux,genre,jazz,Mann-Whitney U,31642.0,1.6573106133062769e-09,-0.36525576730190573,0.35914642848887396,0.3725821456844333,0.02034996032508687,0.025654841813861875,100,997,True,False,1.07725189864908e-08
complexity_spectral,genre,metal,Mann-Whitney U,68025.0,1.7730940668917663e-09,0.3645937813440321,0.4320121923060876,0.4156635924987261,0.011609106919616155,0.0322230686220606,100,997,False,False,1.0976296604568077e-08
entropy_spectral,genre,hip-hop,Mann-Whitney U,65726.0,1.4708738337600897e-07,0.3184754262788365,0.7402353063508261,0.6861099746399831,0.04657899094532484,0.10931294392116574,100,997,False,False,8.691527199491439e-07
