pair,type,metric,feature,is_bivariate_normal,recommendation,marginal_normality_x,marginal_normality_y,correlation
entropy_amplitude_vs_genre_acoustic,metric_vs_genre,entropy_amplitude,genre_acoustic,False,Данные НЕ подходят для корреляции Пирсона,"{'statistic': 0.9536118702203846, 'p_value': 3.926089392344299e-18, 'is_normal': False}","{'statistic': 0.3242849595135988, 'p_value': 7.027685332567793e-53, 'is_normal': False}",-0.03448570883964302
entropy_amplitude_vs_genre_blues,metric_vs_genre,entropy_amplitude,genre_blues,False,Данные НЕ подходят для корреляции Пирсона,"{'statistic': 0.9536118702203846, 'p_value': 3.926089392344299e-18, 'is_normal': False}","{'statistic': 0.3242849595135988, 'p_value': 7.027685332567793e-53, 'is_normal': False}",0.030909461302819966
entropy_amplitude_vs_genre_classical,metric_vs_genre,entropy_amplitude,genre_classical,False,Данные НЕ подходят для корреляции Пирсона,"{'statistic': 0.9536118702203846, 'p_value': 3.926089392344299e-18, 'is_normal': False}","{'statistic': 0.3185524381744279, 'p_value': 5.092764577538537e-53, 'is_normal': False}",-0.1508134574362476
entropy_amplitude_vs_genre_country,metric_vs_genre,entropy_amplitude,genre_country,False,Данные НЕ подходят для корреляции Пирсона,"{'statistic': 0.9536118702203846, 'p_value': 3.926089392344299e-18, 'is_normal': False}","{'statistic': 0.3242849595135988, 'p_value': 7.027685332567793e-53, 'is_normal': False}",0.04374348080408431
entropy_amplitude_vs_genre_disco,metric_vs_genre,entropy_amplitude,genre_disco,False,Данные НЕ подходят для корреляции Пирсона,"{'statistic': 0.9536118702203846, 'p_value': 3.926089392344299e-18, 'is_normal': False}","{'statistic': 0.3242849595135988, 'p_value': 7.027685332567793e-53, 'is_normal': False}",-0.15752550834894677
entropy_amplitude_vs_genre_hip-hop,metric_vs_genre,entropy_amplitude,genre_hip-hop,False,Данные НЕ подходят для корреляции Пирсона,"{'statistic': 0.9536118702203846, 'p_value': 3.926089392344299e-18, 'is_normal': False}","{'statistic': 0.3242849595135988, 'p_value': 7.027685332567793e-53, 'is_normal': False}",-0.06959106338597525
entropy_amplitude_vs_genre_jazz,metric_vs_genre,entropy_amplitude,genre_jazz,False,Данные НЕ подходят для корреляции Пирсона,"{'statistic': 0.9536118702203846, 'p_value': 3.926089392344299e-18, 'is_normal': False}","{'statistic': 0.3242849595135988, 'p_value': 7.027685332567793e-53, 'is_normal': False}",-0.18126336587837957
entropy_amplitude_vs_genre_metal,metric_vs_genre,entropy_amplitude,genre_metal,False,Данные НЕ подходят для корреляции Пирсона,"{'statistic': 0.9536118702203846, 'p_value': 3.926089392344299e-18, 'is_normal': False}","{'statistic': 0.3242849595135988, 'p_value': 7.027685332567793e-53, 'is_normal': False}",0.35564706634552645
entropy_amplitude_vs_genre_pop,metric_vs_genre,entropy_amplitude,genre_pop,False,Данные НЕ подходят для корреляции Пирсона,"{'statistic': 0.9536118702203846, 'p_value': 3.926089392344299e-18, 'is_normal': False}","{'statistic': 0.3242849595135988, 'p_value': 7.027685332567793e-53, 'is_normal': False}",0.05882208766314355
entropy_amplitude_vs_genre_reggae,metric_vs_genre,entropy_amplitude,genre_reggae,False,Данные НЕ подходят для корреляции Пирсона,"{'statistic': 0.9536118702203846, 'p_value': 3.926089392344299e-18, 'is_normal': False}","{'statistic': 0.3242849595135988, 'p_value': 7.027685332567793e-53, 'is_normal': False}",-0.018683243944183973
